序号,主修专业,GPA分段,挂科门数,奖学金级别,四六级成绩,计算机等级,双学位辅修,实习类型,实习企业规模,实习岗位相关性,岗位类型,岗位名称,起薪
58,软件工程,3.0-3.5,0,校奖,519 (通过),三级,无,毕业实习,世界500强,完全相关,技术岗,数据分析师,14000
59,信息安全,3.0-3.5,0,无,393 (未通过),四级,金融学,暑期实习,上市科技公司,完全相关,非技术岗,产品经理,13500
60,机械工程,2.0-3.0,1,无,435 (通过),二级,无,暑期实习,国企,部分相关,技术岗,结构工程师,10000
61,电子工程,3.0-3.5,0,无,475 (通过),二级,无,暑期实习,研究院所,完全相关,技术岗,通信工程师,11500
62,通信工程,3.5+,0,省奖,397 (未通过),三级,无,日常实习,行业龙头,部分相关,技术岗,自动化控制师,11000
63,软件工程,3.0-3.5,0,无,430 (通过),三级,无,日常实习,中小型企业,部分相关,技术岗,算法工程师,14000
64,金融学,3.0-3.5,0,无,513 (通过),无,无,暑期实习,外资企业,部分相关,非技术岗,HRBP,10500
65,计算机科学与技术,3.0-3.5,0,无,580 (通过),四级,无,暑期实习,独角兽企业,部分相关,非技术岗,产品经理,13500
66,新闻学,2.0-3.0,0,无,414 (未通过),无,无,日常实习,传媒机构,完全相关,非技术岗,教育培训,8500
67,新闻学,3.0-3.5,0,无,540 (通过),无,无,毕业实习,事业单位,完全相关,非技术岗,教育培训,7500
68,工商管理,2.0-3.0,0,无,397 (未通过),二级,无,日常实习,外资企业,完全相关,技术岗,量化研究员,11500
69,软件工程,3.0-3.5,0,无,472 (通过),三级,金融学,日常实习,上市科技公司,部分相关,技术岗,软件开发工程师,14500
70,软件工程,3.0-3.5,0,无,476 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,软件开发工程师,13500
71,通信工程,3.5+,0,校奖,465 (通过),二级,无,日常实习,中小型企业,完全相关,技术岗,电子工程师,12000
72,人工智能,3.5+,0,无,550 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,软件开发工程师,15000
73,新闻学,2.0-3.0,0,无,438 (通过),无,无,暑期实习,教育机构,完全相关,技术岗,其他,8000
74,软件工程,3.0-3.5,0,校奖,402 (未通过),四级,金融学,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,13500
75,电子工程,3.0-3.5,0,省奖,502 (通过),三级,无,日常实习,央企,部分相关,技术岗,自动化控制师,11500
76,工商管理,2.0-3.0,0,无,428 (通过),无,无,毕业实习,创业公司,完全相关,技术岗,量化研究员,10000
77,自动化,3.5+,0,省奖,616 (通过),三级,无,毕业实习,中小型企业,部分相关,技术岗,自动化控制师,11500
78,土木工程,3.0-3.5,0,无,456 (通过),二级,无,暑期实习,央企,部分相关,非技术岗,质量检测员,11000
79,英语,3.0-3.5,0,无,397 (未通过),一级,无,暑期实习,自由职业,完全相关,非技术岗,教育培训,8000
80,会计学,3.0-3.5,0,无,420 (未通过),二级,无,毕业实习,外资企业,完全相关,技术岗,量化研究员,12000
81,工商管理,3.5+,0,省奖,540 (通过),无,无,毕业实习,外资企业,完全相关,技术岗,量化研究员,11500
82,自动化,3.0-3.5,0,无,477 (通过),三级,无,毕业实习,研究院所,完全相关,非技术岗,项目协调员,12500
83,信息安全,2.0-3.0,0,无,453 (通过),四级,无,毕业实习,上市科技公司,完全相关,非技术岗,IT项目经理,13500
84,通信工程,3.5+,0,省奖,496 (通过),三级,无,日常实习,央企,完全相关,非技术岗,项目协调员,12500
85,新闻学,2.0-3.0,2,无,395 (未通过),无,无,日常实习,传媒机构,完全相关,技术岗,其他,7000
86,人工智能,3.5+,0,无,604 (通过),三级,无,暑期实习,独角兽企业,完全相关,技术岗,算法工程师,14500
87,机械工程,3.5+,0,无,467 (通过),二级,无,毕业实习,国企,完全相关,技术岗,机械设计师,10500
88,电子工程,3.0-3.5,0,校奖,484 (通过),三级,无,日常实习,研究院所,完全相关,技术岗,通信工程师,11000
89,电子工程,3.0-3.5,0,无,489 (通过),三级,无,日常实习,央企,完全相关,技术岗,自动化控制师,11000
90,市场营销,3.0-3.5,0,无,403 (未通过),二级,心理学,毕业实习,创业公司,部分相关,技术岗,量化研究员,12000
91,新闻学,3.0-3.5,0,无,446 (通过),无,无,暑期实习,传媒机构,部分相关,非技术岗,教育培训,7500
92,人工智能,3.5+,0,省奖,539 (通过),三级,金融学,日常实习,独角兽企业,部分相关,技术岗,软件开发工程师,14000
93,计算机科学与技术,3.5+,0,校奖,530 (通过),三级,无,日常实习,独角兽企业,完全相关,技术岗,软件开发工程师,15500
94,电子工程,3.5+,0,无,550 (通过),三级,无,暑期实习,行业龙头,完全相关,技术岗,电子工程师,13000
95,人工智能,3.0-3.5,0,无,437 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,数据分析师,13000
96,信息安全,2.0-3.0,1,无,447 (通过),四级,无,日常实习,上市科技公司,完全相关,非技术岗,技术销售,13500
97,新闻学,3.0-3.5,0,无,448 (通过),一级,经济学,暑期实习,事业单位,完全相关,技术岗,其他,8500
98,电子工程,3.0-3.5,0,无,499 (通过),三级,无,毕业实习,中小型企业,部分相关,技术岗,通信工程师,11000
99,土木工程,3.0-3.5,0,无,505 (通过),二级,无,日常实习,国企,部分相关,非技术岗,生产主管,10000
100,计算机科学与技术,3.0-3.5,0,无,404 (未通过),四级,无,日常实习,独角兽企业,完全相关,非技术岗,产品经理,14000
101,英语,2.0-3.0,0,无,447 (通过),一级,无,暑期实习,传媒机构,完全相关,技术岗,其他,8000
102,机械工程,3.0-3.5,0,无,436 (通过),二级,无,暑期实习,央企,完全相关,技术岗,材料研发员,10000
103,工商管理,3.0-3.5,0,无,461 (通过),二级,无,毕业实习,外资企业,完全相关,技术岗,量化研究员,10000
104,软件工程,3.0-3.5,0,校奖,557 (通过),三级,无,毕业实习,独角兽企业,完全相关,技术岗,软件开发工程师,13500
105,金融学,3.0-3.5,0,无,388 (未通过),二级,无,日常实习,创业公司,完全相关,技术岗,量化研究员,11000
106,工商管理,3.0-3.5,0,无,467 (通过),二级,无,毕业实习,外资企业,完全相关,技术岗,量化研究员,10500
107,机械工程,3.0-3.5,0,无,433 (通过),二级,工商管理,暑期实习,国企,部分相关,技术岗,结构工程师,11000
108,会计学,3.0-3.5,0,校奖,495 (通过),无,无,毕业实习,外资企业,无关,非技术岗,市场营销专员,10500
109,自动化,3.5+,0,省奖,575 (通过),三级,无,暑期实习,中小型企业,完全相关,非技术岗,项目协调员,12000
110,计算机科学与技术,3.0-3.5,0,无,491 (通过),三级,无,日常实习,上市科技公司,完全相关,技术岗,软件开发工程师,13000
111,软件工程,3.0-3.5,0,无,515 (通过),三级,金融学,毕业实习,独角兽企业,完全相关,技术岗,软件开发工程师,12500
112,通信工程,2.0-3.0,0,无,414 (未通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,通信工程师,12000
113,材料工程,2.0-3.0,0,无,513 (通过),三级,计算机科学,毕业实习,民营企业,部分相关,非技术岗,生产主管,10500
114,机械工程,3.5+,0,省奖,518 (通过),二级,无,日常实习,国企,完全相关,非技术岗,生产主管,9000
115,汉语言文学,3.0-3.5,0,无,547 (通过),无,无,毕业实习,教育机构,完全相关,非技术岗,教育培训,7500
116,工商管理,3.5+,0,校奖,543 (通过),二级,法学,暑期实习,外资企业,完全相关,技术岗,量化研究员,11500
117,市场营销,3.0-3.5,0,校奖,502 (通过),二级,心理学,暑期实习,外资企业,部分相关,非技术岗,市场营销专员,10500
118,信息安全,3.5+,0,无,583 (通过),四级,无,暑期实习,独角兽企业,部分相关,非技术岗,产品经理,13500
119,电子工程,3.0-3.5,0,无,558 (通过),三级,无,日常实习,央企,无关,非技术岗,项目协调员,11000
120,计算机科学与技术,3.5+,0,无,463 (通过),三级,无,日常实习,上市科技公司,完全相关,非技术岗,IT项目经理,13000
121,金融学,3.0-3.5,0,无,569 (通过),二级,心理学,日常实习,外资企业,部分相关,技术岗,财务分析师,11000
122,计算机科学与技术,3.5+,0,国奖,585 (通过),三级,无,毕业实习,世界500强,完全相关,非技术岗,IT项目经理,16000
123,法学,3.0-3.5,0,无,504 (通过),无,无,暑期实习,事业单位,完全相关,技术岗,其他,8000
124,人工智能,3.5+,0,校奖,546 (通过),三级,无,暑期实习,独角兽企业,完全相关,技术岗,算法工程师,13500
125,材料工程,2.0-3.0,0,无,406 (未通过),三级,无,暑期实习,国企,完全相关,技术岗,材料研发员,10000
126,通信工程,3.0-3.5,0,无,543 (通过),三级,无,毕业实习,研究院所,完全相关,非技术岗,技术顾问,11000
127,机械工程,3.5+,0,无,555 (通过),二级,无,暑期实习,民营企业,部分相关,技术岗,结构工程师,10000
128,工商管理,2.0-3.0,0,无,354 (未通过),二级,无,日常实习,创业公司,完全相关,技术岗,量化研究员,10500
129,工商管理,2.0-3.0,0,无,418 (未通过),无,无,日常实习,外资企业,完全相关,技术岗,量化研究员,10000
130,市场营销,2.0-3.0,1,无,469 (通过),无,法学,日常实习,创业公司,完全相关,技术岗,财务分析师,11500
131,电子工程,3.5+,0,省奖,559 (通过),三级,无,毕业实习,央企,完全相关,技术岗,通信工程师,11000
132,电子工程,3.5+,0,校奖,601 (通过),三级,无,毕业实习,研究院所,部分相关,技术岗,通信工程师,12500
133,通信工程,3.0-3.5,0,无,586 (通过),二级,无,毕业实习,央企,无关,技术岗,自动化控制师,11500
134,电子工程,3.0-3.5,0,省奖,631 (通过),二级,无,暑期实习,中小型企业,完全相关,技术岗,自动化控制师,12500
135,计算机科学与技术,2.0-3.0,0,无,420 (未通过),三级,无,日常实习,世界500强,部分相关,非技术岗,产品经理,15000
136,电子工程,3.5+,0,校奖,520 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,通信工程师,12000
137,市场营销,3.0-3.5,0,无,538 (通过),二级,无,暑期实习,创业公司,部分相关,技术岗,财务分析师,10000
138,软件工程,2.0-3.0,0,无,341 (未通过),三级,无,毕业实习,上市科技公司,无关,非技术岗,技术销售,12000
139,金融学,2.0-3.0,0,无,354 (未通过),无,无,毕业实习,外资企业,部分相关,非技术岗,HRBP,11000
140,信息安全,3.5+,0,国奖,521 (通过),三级,无,日常实习,世界500强,部分相关,技术岗,算法工程师,17000
141,人工智能,2.0-3.0,0,无,315 (未通过),四级,无,日常实习,上市科技公司,完全相关,技术岗,软件开发工程师,14500
142,金融学,3.5+,0,无,536 (通过),二级,无,暑期实习,金融机构,无关,技术岗,量化研究员,10500
143,工商管理,3.5+,0,校奖,502 (通过),二级,法学,暑期实习,创业公司,部分相关,技术岗,量化研究员,11000
144,法学,2.0-3.0,1,无,329 (未通过),一级,无,毕业实习,自由职业,完全相关,技术岗,其他,7500
145,通信工程,3.5+,0,省奖,476 (通过),二级,无,日常实习,行业龙头,部分相关,技术岗,通信工程师,12000
146,会计学,3.5+,0,无,563 (通过),二级,无,日常实习,外资企业,完全相关,技术岗,量化研究员,10000
147,通信工程,3.0-3.5,0,无,462 (通过),二级,无,日常实习,中小型企业,部分相关,非技术岗,项目协调员,11500
148,信息安全,3.5+,0,校奖,590 (通过),四级,无,日常实习,世界500强,完全相关,技术岗,软件开发工程师,15000
149,通信工程,3.0-3.5,0,无,472 (通过),三级,无,暑期实习,中小型企业,完全相关,非技术岗,技术顾问,11500
150,材料工程,3.0-3.5,0,校奖,504 (通过),二级,计算机科学,日常实习,民营企业,完全相关,技术岗,材料研发员,10000
151,会计学,3.5+,0,无,553 (通过),无,无,毕业实习,四大会计师事务所,完全相关,非技术岗,市场营销专员,11000
152,计算机科学与技术,3.5+,0,无,603 (通过),三级,无,日常实习,上市科技公司,部分相关,技术岗,数据分析师,14000
153,自动化,3.0-3.5,0,校奖,507 (通过),三级,无,暑期实习,行业龙头,完全相关,技术岗,电子工程师,12000
154,计算机科学与技术,3.0-3.5,0,无,518 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,14500
155,信息安全,2.0-3.0,0,无,514 (通过),三级,金融学,毕业实习,独角兽企业,完全相关,技术岗,软件开发工程师,13500
156,法学,3.0-3.5,0,省奖,630 (通过),一级,无,毕业实习,自由职业,部分相关,技术岗,其他,8500
157,新闻学,3.5+,0,省奖,565 (通过),一级,无,毕业实习,自由职业,部分相关,技术岗,其他,8000
158,计算机科学与技术,3.5+,0,省奖,536 (通过),三级,无,暑期实习,上市科技公司,部分相关,技术岗,算法工程师,13500
159,信息安全,3.5+,0,国奖,663 (通过),三级,无,日常实习,上市科技公司,完全相关,技术岗,软件开发工程师,14500
160,材料工程,3.0-3.5,0,无,465 (通过),三级,工商管理,暑期实习,外企,部分相关,技术岗,机械设计师,10500
161,汉语言文学,3.0-3.5,0,无,615 (通过),一级,无,毕业实习,教育机构,完全相关,技术岗,其他,8000
162,新闻学,2.0-3.0,0,无,511 (通过),无,新媒体,毕业实习,事业单位,无关,技术岗,其他,8500
163,人工智能,3.5+,0,无,501 (通过),四级,电子工程,日常实习,中小型企业,完全相关,技术岗,软件开发工程师,13500
164,材料工程,3.0-3.5,0,无,491 (通过),三级,无,日常实习,国企,部分相关,非技术岗,质量检测员,10000
165,材料工程,3.0-3.5,0,无,423 (未通过),三级,无,日常实习,国企,无关,技术岗,结构工程师,10500
166,软件工程,2.0-3.0,0,无,520 (通过),三级,无,毕业实习,独角兽企业,完全相关,非技术岗,IT项目经理,13500
167,软件工程,3.0-3.5,0,无,513 (通过),三级,金融学,毕业实习,独角兽企业,完全相关,技术岗,算法工程师,13500
168,人工智能,3.0-3.5,0,无,558 (通过),三级,无,暑期实习,中小型企业,完全相关,技术岗,系统架构师,15000
169,英语,3.5+,0,无,596 (通过),一级,无,毕业实习,传媒机构,部分相关,技术岗,其他,8000
170,软件工程,3.0-3.5,0,无,465 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,算法工程师,12500
171,信息安全,3.0-3.5,0,无,589 (通过),三级,无,日常实习,世界500强,部分相关,技术岗,软件开发工程师,15000
172,通信工程,3.5+,0,省奖,610 (通过),三级,无,暑期实习,研究院所,部分相关,技术岗,自动化控制师,11500
173,信息安全,3.0-3.5,0,无,449 (通过),四级,无,毕业实习,上市科技公司,完全相关,技术岗,软件开发工程师,13000
174,法学,3.0-3.5,0,无,451 (通过),无,无,日常实习,自由职业,无关,非技术岗,教育培训,8500
175,机械工程,3.5+,0,省奖,555 (通过),二级,无,日常实习,民营企业,完全相关,技术岗,机械设计师,11000
176,会计学,2.0-3.0,1,无,341 (未通过),无,法学,日常实习,外资企业,完全相关,技术岗,量化研究员,11000
177,英语,2.0-3.0,0,无,388 (未通过),一级,无,日常实习,自由职业,部分相关,非技术岗,教育培训,7500
178,市场营销,3.0-3.5,0,校奖,575 (通过),二级,心理学,暑期实习,创业公司,完全相关,技术岗,量化研究员,11500
179,通信工程,3.5+,0,国奖,550 (通过),三级,无,日常实习,行业龙头,部分相关,技术岗,电子工程师,14000
180,土木工程,3.0-3.5,0,无,428 (通过),二级,无,日常实习,民营企业,完全相关,非技术岗,质量检测员,11000
181,会计学,2.0-3.0,0,无,441 (通过),无,无,暑期实习,四大会计师事务所,部分相关,技术岗,财务分析师,11500
182,电子工程,3.5+,0,国奖,603 (通过),三级,无,暑期实习,中小型企业,部分相关,技术岗,通信工程师,13500
183,材料工程,2.0-3.0,1,无,387 (未通过),三级,无,暑期实习,民营企业,完全相关,技术岗,材料研发员,10000
184,金融学,3.5+,0,校奖,495 (通过),二级,无,暑期实习,外资企业,部分相关,非技术岗,市场营销专员,12000
185,市场营销,2.0-3.0,1,无,419 (未通过),二级,无,毕业实习,创业公司,完全相关,技术岗,财务分析师,11000
186,自动化,3.0-3.5,0,无,534 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,自动化控制师,13000
187,电子工程,3.5+,0,省奖,573 (通过),二级,无,毕业实习,中小型企业,完全相关,非技术岗,技术顾问,12000
188,计算机科学与技术,3.0-3.5,0,无,527 (通过),三级,无,暑期实习,上市科技公司,完全相关,技术岗,数据分析师,13500
189,土木工程,3.5+,0,省奖,586 (通过),三级,无,毕业实习,外企,部分相关,技术岗,结构工程师,10500
190,英语,3.5+,0,无,581 (通过),一级,无,暑期实习,传媒机构,完全相关,技术岗,其他,8000
191,人工智能,3.5+,0,校奖,566 (通过),四级,金融学,日常实习,世界500强,完全相关,非技术岗,技术销售,16000
192,机械工程,3.0-3.5,0,无,393 (未通过),二级,计算机科学,毕业实习,国企,完全相关,非技术岗,质量检测员,10000
193,电子工程,2.0-3.0,0,无,435 (通过),二级,无,毕业实习,研究院所,完全相关,技术岗,自动化控制师,12500
194,机械工程,3.0-3.5,0,校奖,573 (通过),二级,无,毕业实习,国企,完全相关,非技术岗,质量检测员,10500
195,人工智能,3.5+,0,校奖,567 (通过),四级,电子工程,毕业实习,上市科技公司,完全相关,非技术岗,产品经理,12500
196,信息安全,3.5+,0,校奖,556 (通过),三级,电子工程,日常实习,独角兽企业,完全相关,非技术岗,IT项目经理,14500
197,金融学,3.0-3.5,0,无,380 (未通过),二级,无,日常实习,四大会计师事务所,完全相关,非技术岗,市场营销专员,10000
198,土木工程,3.0-3.5,0,无,474 (通过),二级,无,日常实习,央企,部分相关,技术岗,材料研发员,10500
199,材料工程,3.5+,0,校奖,540 (通过),二级,无,暑期实习,国企,无关,技术岗,材料研发员,11000
200,材料工程,3.0-3.5,0,无,437 (通过),二级,无,日常实习,民营企业,部分相关,技术岗,材料研发员,9500
201,机械工程,2.0-3.0,0,无,429 (通过),二级,无,日常实习,外企,部分相关,技术岗,结构工程师,10000
202,计算机科学与技术,3.5+,0,国奖,516 (通过),三级,无,毕业实习,独角兽企业,完全相关,技术岗,数据分析师,14500
203,电子工程,3.0-3.5,0,无,491 (通过),三级,无,毕业实习,研究院所,无关,技术岗,电子工程师,12000
204,工商管理,2.0-3.0,1,无,341 (未通过),无,心理学,毕业实习,金融机构,完全相关,技术岗,财务分析师,11500
205,材料工程,3.5+,0,校奖,481 (通过),三级,计算机科学,暑期实习,国企,完全相关,技术岗,结构工程师,9500
206,金融学,3.0-3.5,0,无,474 (通过),二级,无,日常实习,外资企业,完全相关,技术岗,量化研究员,10500
207,信息安全,2.0-3.0,3,无,416 (未通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,数据分析师,13000
208,通信工程,3.5+,0,校奖,548 (通过),三级,无,日常实习,行业龙头,完全相关,技术岗,自动化控制师,11500
209,会计学,2.0-3.0,0,无,393 (未通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,财务分析师,10500
210,市场营销,2.0-3.0,0,无,419 (未通过),二级,无,毕业实习,外资企业,部分相关,非技术岗,HRBP,11500
211,法学,2.0-3.0,1,无,328 (未通过),一级,无,暑期实习,传媒机构,部分相关,技术岗,其他,8000
212,工商管理,3.5+,0,无,478 (通过),二级,无,暑期实习,创业公司,完全相关,技术岗,量化研究员,11000
213,计算机科学与技术,3.0-3.5,0,无,495 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,软件开发工程师,14000
214,会计学,3.5+,0,校奖,475 (通过),无,无,毕业实习,金融机构,完全相关,技术岗,量化研究员,11500
215,人工智能,3.5+,0,无,509 (通过),四级,无,日常实习,中小型企业,部分相关,技术岗,系统架构师,13000
216,材料工程,3.0-3.5,0,校奖,485 (通过),二级,无,暑期实习,民营企业,无关,非技术岗,生产主管,9500
217,金融学,2.0-3.0,0,无,386 (未通过),二级,无,日常实习,创业公司,部分相关,技术岗,量化研究员,10500
218,信息安全,3.5+,0,校奖,559 (通过),三级,无,暑期实习,独角兽企业,完全相关,技术岗,软件开发工程师,14500
219,法学,2.0-3.0,0,无,376 (未通过),无,无,暑期实习,事业单位,完全相关,技术岗,其他,7500
220,信息安全,2.0-3.0,0,无,300 (未通过),三级,数学,暑期实习,上市科技公司,完全相关,非技术岗,IT项目经理,12500
221,机械工程,3.5+,0,省奖,570 (通过),三级,无,毕业实习,国企,完全相关,技术岗,结构工程师,11500
222,土木工程,2.0-3.0,0,无,492 (通过),二级,工商管理,暑期实习,民营企业,完全相关,技术岗,结构工程师,11000
223,计算机科学与技术,3.5+,0,校奖,539 (通过),四级,无,毕业实习,独角兽企业,完全相关,技术岗,数据分析师,13000
224,机械工程,3.0-3.5,0,无,482 (通过),二级,无,日常实习,国企,完全相关,技术岗,材料研发员,10000
225,软件工程,2.0-3.0,0,无,380 (未通过),四级,无,毕业实习,世界500强,完全相关,非技术岗,技术销售,14500
226,人工智能,2.0-3.0,0,无,434 (通过),三级,数学,暑期实习,上市科技公司,部分相关,非技术岗,IT项目经理,13500
227,信息安全,3.5+,0,省奖,532 (通过),三级,无,暑期实习,世界500强,完全相关,技术岗,数据分析师,17500
228,自动化,3.0-3.5,0,无,508 (通过),三级,无,毕业实习,央企,部分相关,技术岗,电子工程师,12000
229,人工智能,3.0-3.5,0,无,385 (未通过),四级,无,毕业实习,独角兽企业,完全相关,非技术岗,技术销售,14000
230,人工智能,3.0-3.5,0,无,447 (通过),四级,无,暑期实习,中小型企业,部分相关,非技术岗,技术销售,12500
